Driver,Year
Oliver Oakes,2006
Oliver Oakes,2007
Edoardo Piscopo,2006
Edoardo Piscopo,2007
Robert Wickens,2006
Robert Wickens,2007
Robert Wickens,2008
Robert Wickens,2009
Pedro Bianchini,2007
Kevin Mirocha,2007
Daniel Morad,2007
Tom Dillmann,2007
Tom Dillmann,2008
Jean-Karl Vernay,2007
Jean-Karl Vernay,2008
Mika Mäki,2007
Mika Mäki,2008
Mika Mäki,2009
Karun Chandhok,2008
Daniel Juncadella,2008
Daniel Juncadella,2009
Mirko Bortolotti,2009
Stefan Wackerbauer,2012
Lewis Williamson,2012
António Félix da Costa,2012
António Félix da Costa,2013
Callan O'Keeffe,2012
Callan O'Keeffe,2013
Tom Blomqvist,2013
Beitske Visser,2013
Alex Lynn,2014
Callum Ilott,2015
Dean Stoneman,2015
Luis Leeds,2016
Sérgio Sette Câmara,2016
Niko Kari,2016
Niko Kari,2017
Richard Verschoor,2016
Richard Verschoor,2017
Neil Verhagen,2017
Neil Verhagen,2018
Dan Ticktum,2017
Dan Ticktum,2018
Dan Ticktum,2019
Nirei Fukuzumi,2018
Harry Thompson,2018
Harry Thompson,2019
Jack Doohan,2018
Jack Doohan,2019
Jack Doohan,2020
Jack Doohan,2021
Jonny Edgar,2018
Jonny Edgar,2019
Jonny Edgar,2020
Jonny Edgar,2021
Jonny Edgar,2022
Jüri Vips,2018
Jüri Vips,2019
Jüri Vips,2020
Jüri Vips,2021
Jüri Vips,2022
Dennis Hauger,2018
Dennis Hauger,2019
Dennis Hauger,2020
Dennis Hauger,2021
Dennis Hauger,2022
Dennis Hauger,2023
Lucas Auer,2019
Patricio O'Ward,2019
Igor Fraga,2020
Jehan Daruvala,2020
Jehan Daruvala,2021
Jehan Daruvala,2022
Jak Crawford,2020
Jak Crawford,2021
Jak Crawford,2022
Jak Crawford,2023
Ayumu Iwasa,2021
Ayumu Iwasa,2022
Ayumu Iwasa,2023
Ayumu Iwasa,2024
Noel León,2022
Yuto Nomura,2022
Ren Sato,2022
Souta Arao,2022
Souta Arao,2023
Enzo Fittipaldi,2023
Zane Maloney,2023
Sebastián Montoya,2023
Enzo Deligny,2023
Enzo Deligny,2024
James Egozi,2024
Kacper Sztuka,2024
Oliver Goethe,2024
Oliver Goethe,2025
Pepe Martí,2024
Pepe Martí,2025
Tim Tramnitz,2024
Tim Tramnitz,2025
Jules Caranta,2025
Christopher El Feghali,2025
Niklas Schaufler,2025
Christian Klien,2001
Christian Klien,2002
Christian Klien,2003
Sebastian Vettel,2001
Sebastian Vettel,2002
Sebastian Vettel,2003
Sebastian Vettel,2004
Sebastian Vettel,2005
Sebastian Vettel,2006
Sebastian Vettel,2007
Vitantonio Liuzzi,2002
Vitantonio Liuzzi,2003
Vitantonio Liuzzi,2004
Daniel Ricciardo,2008
Daniel Ricciardo,2009
Daniel Ricciardo,2010
Daniel Ricciardo,2011
Alexander Albon,2008
Alexander Albon,2009
Alexander Albon,2010
Alexander Albon,2011
Alexander Albon,2012
Daniil Kvyat,2010
Daniil Kvyat,2011
Daniil Kvyat,2012
Daniil Kvyat,2013
Max Verstappen,2014
Pierre Gasly,2014
Pierre Gasly,2015
Pierre Gasly,2016
Pierre Gasly,2017
Yuki Tsunoda,2019
Yuki Tsunoda,2020
Liam Lawson,2019
Liam Lawson,2020
Liam Lawson,2021
Liam Lawson,2022
Liam Lawson,2023
Isack Hadjar,2022
Isack Hadjar,2023
Isack Hadjar,2024
Scott Speed,2003
Scott Speed,2004
Scott Speed,2005
Sébastien Buemi,2005
Sébastien Buemi,2006
Sébastien Buemi,2007
Sébastien Buemi,2008
Jaime Alguersuari,2006
Jaime Alguersuari,2007
Jaime Alguersuari,2008
Jaime Alguersuari,2009
Brendon Hartley,2006
Brendon Hartley,2007
Brendon Hartley,2008
Brendon Hartley,2009
Brendon Hartley,2010
Jean-Éric Vergne,2008
Jean-Éric Vergne,2009
Jean-Éric Vergne,2010
Jean-Éric Vergne,2011
Carlos Sainz Jr.,2010
Carlos Sainz Jr.,2011
Carlos Sainz Jr.,2012
Carlos Sainz Jr.,2013
Carlos Sainz Jr.,2014
Arvid Lindblad,2021
Arvid Lindblad,2022
Arvid Lindblad,2023
Arvid Lindblad,2024
Arvid Lindblad,2025
